feature,shap_win_mean,shap_loss_mean,shap_diff_mean,u_stat,p_value,bh_significant,abs_diff
range_hl_rolling_iqr_96,0.001110017632452592,0.0015746577830083718,-0.00046464015055577975,6564341.5,0.09081914823528874,False,0.00046464015055577975
log_volume_rolling_max_1,-0.0005159954014306726,-5.675751390481986e-05,-0.0004592378875258527,6123204.0,6.192352835549033e-11,True,0.0004592378875258527
return_rolling_min_24,-0.0011852622675274165,-0.0016405653079237953,0.00045530304039637873,7797731.0,1.8173144101925536e-32,True,0.00045530304039637873
close_to_vwap_rolling_ptp_24,0.0014642080943582892,0.0019104528805263903,-0.00044624478616810104,6214917.5,3.1734746404361734e-08,True,0.00044624478616810104
close_to_vwap_rolling_mean_1,0.0018913230781147643,0.0023352292935424823,-0.00044390621542771797,7071243.0,0.00010466753416872108,True,0.00044390621542771797
abs_return_rolling_iqr_8,0.0027894631532730156,0.0032331323842222327,-0.00044366923094921705,6194942.5,8.891956437784757e-09,True,0.00044366923094921705
close_to_vwap_rolling_max_8,0.0022639183913859997,0.0018206244883870203,0.0004432939029989794,7260873.0,2.4678478246688685e-09,True,0.0004432939029989794
abs_return_rolling_mean_2,0.0007866296996694455,0.0012263586679901696,-0.0004397289683207241,6226752.5,6.625654949375341e-08,True,0.0004397289683207241
garman_klass_var_rolling_min_2,0.0017767092234623482,0.002213206973844853,-0.0004364977503825047,6123283.5,6.229563764836284e-11,True,0.0004364977503825047
range_pct,0.007887779062283067,0.008322252011392032,-0.000434472949108965,6775407.0,0.5297360053075848,False,0.000434472949108965
log_volume_rolling_mean_8,0.00044480983637088537,0.0008792287215690132,-0.00043441888519812785,6277538.0,1.2792100256353815e-06,True,0.00043441888519812785
imbalance_rolling_min_48,-0.001216717517456762,-0.001650552566025046,0.000433835048568284,7119922.0,1.0123278310064718e-05,True,0.000433835048568284
garman_klass_var_rolling_mean_4,0.00197438968449435,0.002408123777527945,-0.000433734093033595,6358339.0,7.65464542016388e-05,True,0.000433734093033595
range_hl_rolling_min_48,0.0015329615680093175,0.0019626767589488495,-0.000429715190939532,5815391.5,3.349894491777523e-23,True,0.000429715190939532
abs_return_rolling_mean_12,0.001536668736937391,0.001956240777132599,-0.00041957204019520784,4614898.0,3.2937412513384933e-118,True,0.00041957204019520784
buy_ratio_rolling_var_48,-0.002094405023936576,-0.0016813248487679013,-0.0004130801751686746,6569741.5,0.10270599864018437,False,0.0004130801751686746
log_volume_rolling_mean_24,0.00035264562710783025,-6.002800862957188e-05,0.00041267363573740213,8009664.0,1.0198842360855293e-45,True,0.00041267363573740213
parkinson_var_rolling_min_1,0.011179459462856341,0.011590924783155208,-0.00041146532029886704,6360771.0,8.557101323594455e-05,True,0.00041146532029886704
squared_return_rolling_mean_12,0.0017181172668663894,0.0021250030806194862,-0.00040688581375309687,6320163.0,1.2169532860989445e-05,True,0.00040688581375309687
range_pct_rolling_min_24,0.001350825066258091,0.001756325275246385,-0.00040550020898829395,6047014.5,1.6265105688270252e-13,True,0.00040550020898829395
range_hl_rolling_ptp_8,0.001029872806112169,0.0014347996489663636,-0.00040492684285419454,5615547.0,8.49043090666674e-34,True,0.00040492684285419454
squared_return_rolling_mean_4,0.002514622341979778,0.00290587579346383,-0.0003912534514840518,6597743.5,0.1854966682367094,False,0.0003912534514840518
close_to_vwap_rolling_var_24,0.0025770056866725112,0.0029677002494739777,-0.0003906945628014665,6375657.0,0.00016678490777350075,True,0.0003906945628014665
range_hl_rolling_iqr_8,0.0008533574384817378,0.0012434449381947983,-0.00039008749971306054,5364603.0,4.707179091277104e-50,True,0.00039008749971306054
range_hl_rolling_max_1,0.015377310520924422,0.014988238004949533,0.00038907251597488854,6893384.5,0.05423850904519099,False,0.00038907251597488854
range_pct_rolling_max_96,-1.3010979449923079e-05,0.0003728378852505701,-0.00038584886470049317,6202328.0,1.4320145823022531e-08,True,0.00038584886470049317
range_hl_rolling_var_48,6.476852309982288e-06,0.0003873462283490127,-0.0003808693760390304,4580484.5,4.836977111294287e-122,True,0.0003808693760390304
