feature,importance
abs_return_rolling_iqr_2,0.04763765518068119
parkinson_var_rolling_min_48,0.047466761603209714
illiq_rolling_iqr_4,0.04699942711251269
squared_return_rolling_ptp_12,0.046732394134701115
log_volume_rolling_var_8,0.046375773578419745
log_close,0.046181467404433955
log_volume_rolling_max_96,0.045997878652771954
range_hl_rolling_ptp_48,0.045945793850216174
buy_ratio_rolling_max_48,0.04543747012430888
garman_klass_var_rolling_max_24,0.04541919256993186
log_volume_rolling_mean_12,0.04529819770899899
buy_ratio_rolling_max_4,0.04470370313807044
imbalance_rolling_iqr_2,0.04401548951800067
log_quote_volume_rolling_mean_96,0.043860909360208145
illiq_rolling_mean_96,0.04373609571888243
imbalance_rolling_max_24,0.043252366636246674
close_to_vwap_lag_10,0.04306840953258021
buy_ratio_rolling_max_1,0.0429205230688571
range_hl_expanding_var,0.042887760096100375
close_to_vwap_rolling_var_2,0.042651409354659775
imbalance_rolling_min_24,0.042644962860211966
illiq_rolling_min_4,0.04218737491489809
imbalance_rolling_mean_96,0.0418076717502084
return_x_imbalance,0.04171345374776213
squared_return_rolling_var_96,0.04132780694819977
imbalance_rolling_mean_24,0.041151772781452226
buy_ratio_rolling_mean_12,0.041030534153824794
squared_return_rolling_max_2,0.040550380598625584
buy_ratio_rolling_min_24,0.04043562732280849
imbalance_rolling_var_8,0.039887926985101185
abs_return_rolling_var_2,0.03980791360656738
close_to_vwap_rolling_min_8,0.039551729719129035
log_quote_volume_rolling_var_48,0.039498829778286566
close_to_vwap_rolling_max_48,0.03927874717720139
range_hl_rolling_var_12,0.03887439293918746
log_quote_volume_rolling_var_12,0.03879353309657719
squared_return_rolling_iqr_48,0.03876400037249899
imbalance_rolling_max_96,0.03844587017949651
buy_ratio_rolling_ptp_2,0.03779429428433576
squared_return_rolling_max_96,0.037027844133306245
imbalance_rolling_ptp_12,0.037008254296645754
close_to_vwap_rolling_min_48,0.03654827462204496
imbalance_rolling_var_4,0.036548119617651253
return_rolling_ptp_48,0.036515781946680766
garman_klass_var_rolling_min_96,0.03620206425316395
illiq_rolling_mean_12,0.03567430768437872
abs_return_rolling_min_48,0.035492056819761655
parkinson_var_rolling_ptp_48,0.035387755166097525
range_hl_rolling_var_24,0.03525759894368871
